año;mes;hora;factor_antofagasta;factor_santiago;factor_puertomontt
2025;3;9;0.207;0.311;0.156
2025;3;10;0.366;0.534;0.288
2025;3;11;0.529;0.690;0.449
2025;3;12;0.621;0.780;0.603
2025;3;13;0.641;0.814;0.775
2025;3;14;0.597;0.799;0.772
2025;3;15;0.436;0.735;0.675
2025;3;16;0.257;0.616;0.512
2025;3;17;0.117;0.440;0.339
2025;3;18;0.038;0.212;0.170
2025;3;19;0;0.006;0.009
2025;3;20;0;0;0
2025;3;21;0;0;0
2025;3;22;0;0;0
2025;3;23;0;0;0
2025;3;0;0;0;0
2025;3;1;0;0;0
2025;3;2;0;0;0
2025;3;3;0;0;0
2025;3;4;0;0;0
2025;3;5;0;0;0
2025;3;6;0;0;0
2025;3;7;0;0;0
2025;3;8;0.046;0.109;0.057
2025;3;9;0.159;0.358;0.293
2025;3;10;0.334;0.526;0.504
2025;3;11;0.534;0.449;0.652
2025;3;12;0.679;0.309;0.745
2025;3;13;0.752;0.327;0.783
2025;3;14;0.751;0.369;0.772
2025;3;15;0.694;0.312;0.715
2025;3;16;0.577;0.219;0.604
2025;3;17;0.405;0.247;0.437
2025;3;18;0.188;0.109;0.220
2025;3;19;0.005;0;0.013
2025;3;20;0;0;0
2025;3;21;0;0;0
2025;3;22;0;0;0
2025;3;23;0;0;0
2025;3;0;0;0;0
2025;3;1;0;0;0
2025;3;2;0;0;0
2025;3;3;0;0;0
2025;3;4;0;0;0
2025;3;5;0;0;0
2025;3;6;0;0;0
2025;3;7;0;0;0
2025;3;8;0.111;0.090;0.055
2025;3;9;0.344;0.333;0.284
2025;3;10;0.539;0.540;0.487
2025;3;11;0.682;0.685;0.626
2025;3;12;0.769;0.777;0.714
2025;3;13;0.805;0.811;0.759
2025;3;14;0.792;0.794;0.756
2025;3;15;0.726;0.729;0.698
2025;3;16;0.607;0.609;0.580
2025;3;17;0.432;0.431;0.425
2025;3;18;0.209;0.198;0.204
2025;3;19;0.007;0.003;0.007
2025;3;20;0;0;0
2025;3;21;0;0;0
2025;3;22;0;0;0
2025;3;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.102;0.121;0.007
2025;4;9;0.333;0.366;0.139
2025;4;10;0.544;0.561;0.403
2025;4;11;0.687;0.697;0.530
2025;4;12;0.780;0.780;0.578
2025;4;13;0.815;0.810;0.623
2025;4;14;0.803;0.790;0.540
2025;4;15;0.741;0.729;0.375
2025;4;16;0.625;0.612;0.336
2025;4;17;0.451;0.440;0.180
2025;4;18;0.222;0.212;0.021
2025;4;19;0.007;0.004;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.098;0.116;0.005
2025;4;9;0.351;0.355;0.114
2025;4;10;0.552;0.549;0.299
2025;4;11;0.687;0.683;0.530
2025;4;12;0.774;0.764;0.698
2025;4;13;0.809;0.798;0.785
2025;4;14;0.797;0.784;0.616
2025;4;15;0.736;0.722;0.723
2025;4;16;0.618;0.604;0.617
2025;4;17;0.444;0.429;0.432
2025;4;18;0.215;0.201;0.215
2025;4;19;0.006;0.001;0.007
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.072;0.089;0.011
2025;4;9;0.264;0.318;0.071
2025;4;10;0.449;0.515;0.123
2025;4;11;0.528;0.666;0.174
2025;4;12;0.602;0.750;0.268
2025;4;13;0.709;0.783;0.267
2025;4;14;0.712;0.773;0.162
2025;4;15;0.606;0.712;0.097
2025;4;16;0.489;0.594;0.090
2025;4;17;0.390;0.421;0.081
2025;4;18;0.190;0.190;0.018
2025;4;19;0.004;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.117;0.109;0.014
2025;4;9;0.358;0.361;0.168
2025;4;10;0.552;0.562;0.373
2025;4;11;0.688;0.707;0.559
2025;4;12;0.772;0.792;0.681
2025;4;13;0.805;0.824;0.714
2025;4;14;0.790;0.807;0.598
2025;4;15;0.726;0.740;0.559
2025;4;16;0.608;0.620;0.499
2025;4;17;0.433;0.443;0.321
2025;4;18;0.200;0.207;0.125
2025;4;19;0.003;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.118;0.134;0.026
2025;4;9;0.356;0.389;0.235
2025;4;10;0.549;0.587;0.474
2025;4;11;0.686;0.722;0.657
2025;4;12;0.770;0.801;0.760
2025;4;13;0.803;0.830;0.804
2025;4;14;0.788;0.813;0.794
2025;4;15;0.725;0.747;0.733
2025;4;16;0.608;0.628;0.608
2025;4;17;0.435;0.449;0.431
2025;4;18;0.209;0.212;0.209
2025;4;19;0.004;0;0.003
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.127;0.119;0.017
2025;4;9;0.368;0.372;0.115
2025;4;10;0.563;0.569;0.237
2025;4;11;0.700;0.706;0.341
2025;4;12;0.784;0.787;0.460
2025;4;13;0.816;0.818;0.575
2025;4;14;0.801;0.801;0.642
2025;4;15;0.736;0.737;0.617
2025;4;16;0.619;0.618;0.508
2025;4;17;0.444;0.441;0.346
2025;4;18;0.215;0.205;0.155
2025;4;19;0.004;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.124;0.111;0.022
2025;4;9;0.365;0.358;0.212
2025;4;10;0.557;0.554;0.389
2025;4;11;0.694;0.691;0.548
2025;4;12;0.779;0.777;0.661
2025;4;13;0.812;0.810;0.718
2025;4;14;0.798;0.796;0.713
2025;4;15;0.735;0.732;0.657
2025;4;16;0.619;0.614;0.558
2025;4;17;0.444;0.437;0.396
2025;4;18;0.215;0.202;0.178
2025;4;19;0.003;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.121;0.112;0
2025;4;9;0.360;0.364;0.062
2025;4;10;0.555;0.563;0.144
2025;4;11;0.693;0.700;0.199
2025;4;12;0.780;0.782;0.227
2025;4;13;0.816;0.814;0.206
2025;4;14;0.802;0.798;0.221
2025;4;15;0.739;0.738;0.233
2025;4;16;0.622;0.618;0.214
2025;4;17;0.448;0.440;0.192
2025;4;18;0.218;0.201;0.082
2025;4;19;0.003;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.115;0.110;0
2025;4;9;0.354;0.342;0.043
2025;4;10;0.549;0.508;0.113
2025;4;11;0.688;0.700;0.185
2025;4;12;0.773;0.788;0.238
2025;4;13;0.805;0.815;0.227
2025;4;14;0.789;0.691;0.271
2025;4;15;0.724;0.703;0.329
2025;4;16;0.603;0.608;0.295
2025;4;17;0.426;0.429;0.155
2025;4;18;0.198;0.190;0.061
2025;4;19;0.001;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.072;0.124;0
2025;4;9;0.306;0.381;0.057
2025;4;10;0.530;0.583;0.200
2025;4;11;0.682;0.723;0.317
2025;4;12;0.769;0.805;0.430
2025;4;13;0.804;0.835;0.597
2025;4;14;0.789;0.818;0.653
2025;4;15;0.723;0.749;0.655
2025;4;16;0.603;0.631;0.574
2025;4;17;0.429;0.453;0.405
2025;4;18;0.199;0.213;0.155
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.069;0.119;0.014
2025;4;9;0.309;0.377;0.247
2025;4;10;0.535;0.578;0.471
2025;4;11;0.681;0.715;0.520
2025;4;12;0.775;0.796;0.616
2025;4;13;0.812;0.825;0.761
2025;4;14;0.796;0.807;0.521
2025;4;15;0.736;0.739;0.223
2025;4;16;0.618;0.617;0.250
2025;4;17;0.440;0.434;0.324
2025;4;18;0.206;0.192;0.171
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.106;0.105;0
2025;4;9;0.348;0.356;0.087
2025;4;10;0.547;0.556;0.194
2025;4;11;0.687;0.707;0.187
2025;4;12;0.776;0.789;0.085
2025;4;13;0.814;0.821;0.111
2025;4;14;0.804;0.804;0.090
2025;4;15;0.740;0.731;0.092
2025;4;16;0.617;0.533;0.062
2025;4;17;0.434;0.243;0.102
2025;4;18;0.203;0.067;0.053
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.115;0.012;0
2025;4;9;0.367;0.106;0.044
2025;4;10;0.564;0.208;0.122
2025;4;11;0.702;0.523;0.186
2025;4;12;0.787;0.690;0.222
2025;4;13;0.820;0.479;0.204
2025;4;14;0.804;0.451;0.183
2025;4;15;0.740;0.331;0.168
2025;4;16;0.621;0.280;0.122
2025;4;17;0.445;0.255;0.077
2025;4;18;0.210;0.138;0.026
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.110;0.041;0
2025;4;9;0.357;0.250;0.060
2025;4;10;0.558;0.344;0.158
2025;4;11;0.698;0.385;0.253
2025;4;12;0.783;0.397;0.221
2025;4;13;0.818;0.344;0.312
2025;4;14;0.803;0.284;0.382
2025;4;15;0.737;0.272;0.388
2025;4;16;0.618;0.472;0.312
2025;4;17;0.442;0.347;0.190
2025;4;18;0.209;0.080;0.069
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.103;0.104;0.010
2025;4;9;0.354;0.372;0.236
2025;4;10;0.555;0.572;0.374
2025;4;11;0.695;0.708;0.632
2025;4;12;0.780;0.788;0.746
2025;4;13;0.814;0.817;0.777
2025;4;14;0.800;0.799;0.753
2025;4;15;0.738;0.729;0.681
2025;4;16;0.622;0.597;0.362
2025;4;17;0.447;0.439;0.136
2025;4;18;0.210;0.203;0.056
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.109;0.098;0
2025;4;9;0.359;0.365;0.186
2025;4;10;0.563;0.562;0.415
2025;4;11;0.702;0.697;0.560
2025;4;12;0.784;0.778;0.568
2025;4;13;0.816;0.808;0.670
2025;4;14;0.801;0.790;0.401
2025;4;15;0.734;0.723;0.300
2025;4;16;0.615;0.605;0.108
2025;4;17;0.438;0.429;0.023
2025;4;18;0.201;0.192;0.001
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.052;0.048;0
2025;4;9;0.243;0.296;0.044
2025;4;10;0.430;0.536;0.182
2025;4;11;0.600;0.682;0.457
2025;4;12;0.739;0.767;0.636
2025;4;13;0.787;0.801;0.730
2025;4;14;0.765;0.784;0.748
2025;4;15;0.673;0.714;0.701
2025;4;16;0.507;0.582;0.587
2025;4;17;0.299;0.328;0.402
2025;4;18;0.129;0.108;0.151
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.097;0.012;0
2025;4;9;0.344;0.076;0.153
2025;4;10;0.545;0.222;0.414
2025;4;11;0.685;0.478;0.592
2025;4;12;0.771;0.679;0.701
2025;4;13;0.806;0.583;0.757
2025;4;14;0.792;0.237;0.750
2025;4;15;0.730;0.222;0.698
2025;4;16;0.613;0.183;0.585
2025;4;17;0.438;0.092;0.403
2025;4;18;0.205;0.015;0.159
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.106;0.033;0
2025;4;9;0.354;0.318;0.106
2025;4;10;0.554;0.487;0.342
2025;4;11;0.693;0.561;0.558
2025;4;12;0.779;0.487;0.694
2025;4;13;0.815;0.523;0.770
2025;4;14;0.804;0.575;0.761
2025;4;15;0.740;0.630;0.696
2025;4;16;0.623;0.586;0.572
2025;4;17;0.448;0.405;0.387
2025;4;18;0.213;0.168;0.142
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.103;0.068;0
2025;4;9;0.350;0.337;0.101
2025;4;10;0.550;0.551;0.251
2025;4;11;0.690;0.704;0.540
2025;4;12;0.774;0.787;0.704
2025;4;13;0.808;0.821;0.755
2025;4;14;0.797;0.803;0.725
2025;4;15;0.739;0.735;0.653
2025;4;16;0.625;0.608;0.531
2025;4;17;0.449;0.422;0.351
2025;4;18;0.213;0.174;0.121
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.100;0.065;0
2025;4;9;0.348;0.336;0.102
2025;4;10;0.549;0.548;0.269
2025;4;11;0.693;0.703;0.590
2025;4;12;0.780;0.790;0.717
2025;4;13;0.813;0.823;0.760
2025;4;14;0.796;0.806;0.750
2025;4;15;0.728;0.735;0.687
2025;4;16;0.609;0.606;0.569
2025;4;17;0.431;0.414;0.387
2025;4;18;0.197;0.161;0.144
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.094;0.035;0
2025;4;9;0.340;0.244;0.025
2025;4;10;0.540;0.465;0.093
2025;4;11;0.682;0.552;0.188
2025;4;12;0.771;0.648;0.355
2025;4;13;0.811;0.726;0.450
2025;4;14;0.795;0.736;0.541
2025;4;15;0.731;0.676;0.571
2025;4;16;0.614;0.556;0.502
2025;4;17;0.439;0.378;0.332
2025;4;18;0.204;0.140;0.090
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.080;0.019;0
2025;4;9;0.321;0.164;0.080
2025;4;10;0.522;0.467;0.351
2025;4;11;0.668;0.663;0.571
2025;4;12;0.765;0.729;0.698
2025;4;13;0.799;0.741;0.754
2025;4;14;0.784;0.599;0.747
2025;4;15;0.719;0.306;0.686
2025;4;16;0.598;0.185;0.568
2025;4;17;0.408;0.074;0.388
2025;4;18;0.167;0.011;0.145
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.044;0.003;0
2025;4;9;0.238;0.066;0.170
2025;4;10;0.436;0.102;0.411
2025;4;11;0.624;0.149;0.590
2025;4;12;0.757;0.191;0.685
2025;4;13;0.795;0.197;0.722
2025;4;14;0.782;0.219;0.710
2025;4;15;0.721;0.206;0.647
2025;4;16;0.606;0.122;0.528
2025;4;17;0.433;0.071;0.346
2025;4;18;0.199;0.013;0.113
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.097;0.047;0
2025;4;9;0.337;0.326;0.062
2025;4;10;0.534;0.542;0.205
2025;4;11;0.673;0.685;0.340
2025;4;12;0.756;0.772;0.441
2025;4;13;0.791;0.805;0.493
2025;4;14;0.780;0.786;0.471
2025;4;15;0.715;0.712;0.349
2025;4;16;0.598;0.589;0.208
2025;4;17;0.423;0.411;0.080
2025;4;18;0.190;0.156;0.012
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.064;0.055;0
2025;4;9;0.294;0.337;0.043
2025;4;10;0.518;0.535;0.148
2025;4;11;0.663;0.694;0.233
2025;4;12;0.750;0.779;0.235
2025;4;13;0.796;0.812;0.132
2025;4;14;0.783;0.794;0.210
2025;4;15;0.722;0.727;0.198
2025;4;16;0.607;0.606;0.098
2025;4;17;0.432;0.422;0.025
2025;4;18;0.197;0.172;0
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.096;0.012;0
2025;4;9;0.334;0.137;0.015
2025;4;10;0.530;0.350;0.070
2025;4;11;0.669;0.582;0.124
2025;4;12;0.754;0.722;0.143
2025;4;13;0.794;0.795;0.153
2025;4;14;0.787;0.784;0.181
2025;4;15;0.723;0.718;0.175
2025;4;16;0.607;0.600;0.158
2025;4;17;0.433;0.420;0.082
2025;4;18;0.198;0.174;0.009
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.092;0.049;0
2025;4;9;0.337;0.336;0.021
2025;4;10;0.538;0.540;0.112
2025;4;11;0.677;0.677;0.242
2025;4;12;0.766;0.757;0.335
2025;4;13;0.795;0.787;0.317
2025;4;14;0.781;0.752;0.258
2025;4;15;0.720;0.610;0.276
2025;4;16;0.605;0.275;0.146
2025;4;17;0.429;0.143;0.128
2025;4;18;0.192;0.033;0.030
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.082;0.007;0
2025;4;9;0.327;0.158;0.057
2025;4;10;0.528;0.368;0.146
2025;4;11;0.665;0.498;0.326
2025;4;12;0.755;0.505;0.396
2025;4;13;0.791;0.413;0.419
2025;4;14;0.779;0.335;0.479
2025;4;15;0.717;0.254;0.491
2025;4;16;0.601;0.167;0.417
2025;4;17;0.427;0.084;0.243
2025;4;18;0.190;0.017;0.021
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;4;0;0;0;0
2025;4;1;0;0;0
2025;4;2;0;0;0
2025;4;3;0;0;0
2025;4;4;0;0;0
2025;4;5;0;0;0
2025;4;6;0;0;0
2025;4;7;0;0;0
2025;4;8;0.079;0.042;0
2025;4;9;0.326;0.333;0.008
2025;4;10;0.532;0.546;0.035
2025;4;11;0.672;0.693;0.065
2025;4;12;0.761;0.779;0.071
2025;4;13;0.803;0.813;0.076
2025;4;14;0.789;0.797;0.055
2025;4;15;0.725;0.731;0.063
2025;4;16;0.609;0.608;0.030
2025;4;17;0.434;0.423;0.005
2025;4;18;0.197;0.153;0
2025;4;19;0;0;0
2025;4;20;0;0;0
2025;4;21;0;0;0
2025;4;22;0;0;0
2025;4;23;0;0;0
2025;5;0;0;0;0
2025;5;1;0;0;0
2025;5;2;0;0;0
2025;5;3;0;0;0
2025;5;4;0;0;0
2025;5;5;0;0;0
2025;5;6;0;0;0
2025;5;7;0;0;0
2025;5;8;0.084;0.035;0
2025;5;9;0.331;0.310;0.004
2025;5;10;0.537;0.515;0.055
2025;5;11;0.686;0.654;0.054
2025;5;12;0.774;0.734;0.067
2025;5;13;0.808;0.765;0.063
2025;5;14;0.792;0.750;0.062
2025;5;15;0.728;0.687;0.051
2025;5;16;0.611;0.571;0.028
2025;5;17;0.435;0.346;0.010
2025;5;18;0.196;0.041;0
2025;5;19;0;0;0
2025;5;20;0;0;0
2025;5;21;0;0;0
2025;5;22;0;0;0
2025;5;23;0;0;0
2025;5;0;0;0;0
2025;5;1;0;0;0
2025;5;2;0;0;0
2025;5;3;0;0;0
2025;5;4;0;0;0
2025;5;5;0;0;0
2025;5;6;0;0;0
2025;5;7;0;0;0
2025;5;8;0.084;0.018;0
2025;5;9;0.336;0.274;0.034
2025;5;10;0.539;0.494;0.149
2025;5;11;0.682;0.639;0.278
2025;5;12;0.771;0.727;0.363
2025;5;13;0.802;0.760;0.549
2025;5;14;0.787;0.739;0.529
2025;5;15;0.721;0.661;0.471
2025;5;16;0.603;0.505;0.216
2025;5;17;0.425;0.309;0.098
2025;5;18;0.186;0.076;0.009
2025;5;19;0;0;0
2025;5;20;0;0;0
2025;5;21;0;0;0
2025;5;22;0;0;0
2025;5;23;0;0;0
2025;5;0;0;0;0
2025;5;1;0;0;0
2025;5;2;0;0;0
2025;5;3;0;0;0
2025;5;4;0;0;0
2025;5;5;0;0;0
2025;5;6;0;0;0
2025;5;7;0;0;0
2025;5;8;0.082;0.011;0
2025;5;9;0.333;0.267;0.035
2025;5;10;0.536;0.504;0.148
2025;5;11;0.677;0.662;0.344
2025;5;12;0.753;0.747;0.564
2025;5;13;0.786;0.763;0.570
2025;5;14;0.772;0.676;0.344
2025;5;15;0.704;0.561;0.191
2025;5;16;0.585;0.383;0.148
2025;5;17;0.405;0.188;0.067
2025;5;18;0.163;0.038;0.002
2025;5;19;0;0;0
2025;5;20;0;0;0
2025;5;21;0;0;0
2025;5;22;0;0;0
2025;5;23;0;0;0
2025;5;0;0;0;0
2025;5;1;0;0;0
2025;5;2;0;0;0
2025;5;3;0;0;0
2025;5;4;0;0;0
2025;5;5;0;0;0
2025;5;6;0;0;0
2025;5;7;0;0;0
2025;5;8;0.061;0.005;0
2025;5;9;0.304;0.176;0.012
2025;5;10;0.513;0.391;0.098
2025;5;11;0.658;0.623;0.200
2025;5;12;0.751;0.739;0.245
2025;5;13;0.783;0.768;0.238
2025;5;14;0.768;0.739;0.243
2025;5;15;0.703;0.608;0.237
2025;5;16;0.583;0.378;0.185
2025;5;17;0.363;0.177;0.101
2025;5;18;0.092;0.025;0.012
2025;5;19;0;0;0
2025;5;20;0;0;0
2025;5;21;0;0;0
2025;5;22;0;0;0
2025;5;23;0;0;0
2025;5;0;0;0;0
2025;5;1;0;0;0
2025;5;2;0;0;0
2025;5;3;0;0;0
2025;5;4;0;0;0
2025;5;5;0;0;0
2025;5;6;0;0;0
2025;5;7;0;0;0
2025;5;8;0.014;0;0
